Field Name,Field Label,Model,Field Type,Type,Indexed,Stored,Readonly,Related Model
x_studio_x_type_of_service,Type of Service,Contact,char,Custom Field,FALSE,TRUE,FALSE,
x_studio_x_studio_first_name,First Name,Contact,char,Custom Field,FALSE,TRUE,FALSE,
x_studio_last_service_date,Last Service Date,Contact,date,Custom Field,FALSE,TRUE,TRUE,
x_studio_is_landline,Is Landline,Contact,boolean,Custom Field,FALSE,TRUE,FALSE,
x_studio_pricing_menu,Pricing Menu,Contact,text,Custom Field,FALSE,TRUE,TRUE,
x_studio_x_studio_ok_to_text,OK to Text,Contact,selection,Custom Field,FALSE,TRUE,FALSE,
x_studio_x_studio_record_category,Record Category,Contact,selection,Custom Field,FALSE,TRUE,FALSE,
x_studio_selection_field_4g5_1jdpvit6j,New Selection,Contact,selection,Custom Field,FALSE,TRUE,FALSE,
x_studio_related_field_3ks_1jdpt7f10,Parent name (Copy),Contact,char,Custom Field,FALSE,FALSE,TRUE,
x_studio_x_is_landline,Is Landline,Contact,boolean,Custom Field,FALSE,TRUE,FALSE,
x_studio_temp_id_holder,Temp ID Holder,Contact,char,Custom Field,FALSE,TRUE,FALSE,
x_studio_related_field_7lq_1jdpstqrj,First Name (Copy),Contact,char,Custom Field,FALSE,FALSE,TRUE,
x_studio_contact_category,Contact Category,Contact,selection,Custom Field,FALSE,TRUE,FALSE,
x_studio_x_alternating,Alternating,Contact,char,Custom Field,FALSE,TRUE,FALSE,
x_studio_x_studio_location_id,Workiz Location ID.,Contact,char,Custom Field,FALSE,TRUE,FALSE,
x_studio_x_studio_last_name,Last Name,Contact,char,Custom Field,FALSE,TRUE,FALSE,
x_studio_x_frequency,Frequency,Contact,char,Custom Field,FALSE,TRUE,FALSE,
x_studio_x_gate_code,Gate Code,Contact,char,Custom Field,FALSE,TRUE,FALSE,
x_studio_x_studio_service_area,Service Area,Contact,char,Custom Field,FALSE,TRUE,FALSE,
x_studio_x_pricing,Pricing Note,Contact,char,Custom Field,FALSE,TRUE,FALSE,
x_studio_service_area,Service Area,Contact,char,Custom Field,FALSE,TRUE,FALSE,
x_studio_x_studio_second_phone,Second Phone,Contact,char,Custom Field,FALSE,TRUE,FALSE,
x_studio_char_field_7f9_1jctcmuu5,New Text,Sales Order,char,Custom Field,FALSE,TRUE,FALSE,
x_studio_x_studio_workiz_status,Workiz Status,Sales Order,char,Custom Field,FALSE,TRUE,FALSE,
x_studio_x_gate_snapshot,Gate Snapshot,Sales Order,char,Custom Field,FALSE,TRUE,FALSE,
x_studio_char_field_1ar_1jctcfvaa,New Text,Sales Order,char,Custom Field,FALSE,TRUE,FALSE,
x_studio_gate_snapshot,Gate Snapshot,Sales Order,char,Custom Field,FALSE,TRUE,FALSE,
x_studio_char_field_7ml_1jctcl0t1,New Text,Sales Order,char,Custom Field,FALSE,TRUE,FALSE,
x_studio_x_workiz_link,Workiz Link,Sales Order,char,Custom Field,FALSE,TRUE,FALSE,
x_studio_x_studio_x_studio_job_type,Job Type,Sales Order,selection,Custom Field,FALSE,TRUE,FALSE,
x_studio_x_studio_workiz_tech,Workiz Tech,Sales Order,char,Custom Field,FALSE,TRUE,FALSE,
x_studio_binary_field_7sv_1jdp3p4in,New File,Sales Order,binary,Custom Field,FALSE,TRUE,FALSE,
x_studio_binary_field_7sv_1jdp3p4in_filename,Filename for x_studio_binary_field_7sv_1jdp3p4in,Sales Order,char,Custom Field,FALSE,TRUE,FALSE,
x_studio_x_studio_lead_source,Lead Source,Sales Order,selection,Custom Field,FALSE,TRUE,FALSE,
x_studio_x_studio_workiz_link,Workiz Link,Sales Order,char,Custom Field,FALSE,TRUE,FALSE,
x_studio_x_studio_workiz_uuid,Workiz UUID,Sales Order,char,Custom Field,FALSE,TRUE,FALSE,
x_studio_x_studio_pricing_snapshot,Pricing Snapshot,Sales Order,char,Custom Field,FALSE,TRUE,FALSE,
x_studio_x_studio_notes_snapshot1,Notes Snapshot,Sales Order,text,Custom Field,FALSE,TRUE,FALSE,
x_studio_x_studio_staged_description,Staged Description,Sales Order Line,char,Custom Field,FALSE,TRUE,FALSE,
x_studio_x_studio_second_phone,Second Phone,User,char,Base Field,FALSE,FALSE,FALSE,
x_studio_char_field_4h9_1jct9bdga,New Text,User,char,Base Field,FALSE,FALSE,FALSE,
x_studio_char_field_99m_1jdou6mtn,New Text,User,char,Base Field,FALSE,FALSE,FALSE,
x_studio_service_area,Service Area,User,char,Base Field,FALSE,FALSE,FALSE,
x_studio_gate_code,Gate Code,User,char,Base Field,FALSE,FALSE,FALSE,
x_studio_x_is_landline,Is Landline,User,boolean,Base Field,FALSE,FALSE,FALSE,
x_studio_frequency,Frequency,User,char,Base Field,FALSE,FALSE,FALSE,
x_studio_x_alternating,Alternating,User,char,Base Field,FALSE,FALSE,FALSE,
x_studio_x_gate_code,Gate Code,User,char,Base Field,FALSE,FALSE,FALSE,
x_studio_x_pricing,Pricing Note,User,char,Base Field,FALSE,FALSE,FALSE,
x_studio_x_studio_first_name,First Name,User,char,Base Field,FALSE,FALSE,FALSE,
x_studio_temp_id_holder,Temp ID Holder,User,char,Base Field,FALSE,FALSE,FALSE,
x_studio_char_field_6qg_1jdou8imt,New Text,User,char,Base Field,FALSE,FALSE,FALSE,
x_studio_pricing_note,Pricing Note,User,char,Base Field,FALSE,FALSE,FALSE,
x_studio_x_studio_service_area,Service Area,User,char,Base Field,FALSE,FALSE,FALSE,
x_studio_char_field_o4_1jct9pbpr,New Text,User,char,Base Field,FALSE,FALSE,FALSE,
x_studio_x_frequency,Frequency,User,char,Base Field,FALSE,FALSE,FALSE,
x_studio_char_field_m7_1jdnvr9qf,New Text,User,char,Base Field,FALSE,FALSE,FALSE,
x_studio_char_field_41n_1jct96d2v,New Text,User,char,Base Field,FALSE,FALSE,FALSE,
x_studio_service_area_1,Service Area,User,char,Base Field,FALSE,FALSE,FALSE,
x_studio_x_studio_record_category,Record Category,User,selection,Base Field,FALSE,FALSE,FALSE,
x_studio_char_field_2l_1jdoub5u4,New Text,User,char,Base Field,FALSE,FALSE,FALSE,
x_studio_char_field_3tv_1jct9qkao,New Text,User,char,Base Field,FALSE,FALSE,FALSE,
x_studio_x_studio_location_id,Workiz Location ID.,User,char,Base Field,FALSE,FALSE,FALSE,
x_studio_selection_field_5r2_1je1km9mb,New Selection,User,selection,Base Field,FALSE,FALSE,FALSE,
x_studio_is_landline,Is Landline,User,boolean,Base Field,FALSE,FALSE,FALSE,
x_studio_selection_field_6p5_1jdpv05gk,New Selection,User,selection,Base Field,FALSE,FALSE,FALSE,
x_studio_workiz_location_id,Workiz Location ID.,User,char,Base Field,FALSE,FALSE,FALSE,
x_studio_x_studio_ok_to_text,OK to Text,User,selection,Base Field,FALSE,FALSE,FALSE,
x_studio_boolean_field_6r2_1jct887l4,New CheckBox,User,boolean,Base Field,FALSE,FALSE,FALSE,
x_studio_last_service_date,Last Service Date,User,date,Base Field,FALSE,FALSE,TRUE,
x_studio_char_field_8h1_1jct918j9,New Text,User,char,Base Field,FALSE,FALSE,FALSE,
x_studio_contact_category,Contact Category,User,selection,Base Field,FALSE,FALSE,FALSE,
x_studio_pricing_menu,Pricing Menu,User,text,Base Field,FALSE,FALSE,TRUE,
x_studio_date_field_12l_1jbud9b9v,New Date,User,date,Base Field,FALSE,FALSE,FALSE,
x_studio_text_field_92k_1jbue3a62,New Multiline Text,User,text,Base Field,FALSE,FALSE,FALSE,
x_studio_alternating,Alternating,User,char,Base Field,FALSE,FALSE,FALSE,
x_studio_related_field_7lq_1jdpstqrj,First Name (Copy),User,char,Base Field,FALSE,FALSE,TRUE,
x_studio_is_landline_1,Is Landline,User,boolean,Base Field,FALSE,FALSE,FALSE,
x_studio_related_field_3ks_1jdpt7f10,Parent name (Copy),User,char,Base Field,FALSE,FALSE,TRUE,
x_studio_char_field_1eb_1je70h73r,New Text,User,char,Base Field,FALSE,FALSE,FALSE,
